date,country,traffic_channel,device_type,platform,visits,session_duration,no_of_customers,impressions,views,wishlist_adds,cart_adds,items_purchased
2024-08-26,France,Organic,Desktop,Android,2,5.19,1,2465,448,9,40,14
2024-10-11,United Kingdom,Social,Mobile,Android,9,3.76,7,6155,317,5,7,0
2024-06-15,Italy,Organic,Desktop,iOS,5,5.71,3,3982,788,18,58,12
2024-08-02,France,Organic,Mobile,Android,1,3.77,1,2718,393,7,23,5
2024-03-14,Ireland,Organic,Desktop,iOS,3,7.61,2,10158,2048,44,198,49
2025-06-30,Spain,Organic,Mobile Web,Android,2,4.06,1,2340,278,2,21,1
2024-06-16,Ireland,Paid,Mobile,Others,7,4.78,2,8867,539,13,25,5
2024-10-03,Italy,Organic,Mobile,Others,5,3.63,4,2512,302,5,16,5
2024-11-28,Ireland,Referral,Tablet,iOS,4,3.39,2,8973,1113,32,83,15
2024-02-02,United Kingdom,Paid,Mobile,Android,4,4.6,2,5104,510,14,23,6
2024-10-01,France,Paid,Mobile,Android,5,3.96,4,7244,694,14,31,5
2025-08-03,United Kingdom,Social,Mobile,Android,5,2.18,2,9584,651,22,14,2
2024-08-05,Ireland,Referral,Desktop,iOS,3,5.25,2,4674,527,5,34,2
2025-02-09,Ireland,Organic,Desktop,Android,4,5.46,4,2589,493,10,38,8
2024-05-26,Ireland,CRM,Mobile,Android,5,7.17,4,10752,2388,46,196,52
2024-09-09,France,Direct,Mobile,Android,4,5.0,2,8011,1607,41,123,33
2025-07-05,Ireland,Direct,Desktop,iOS,6,4.49,5,1738,383,10,37,13
2025-08-21,France,Paid,Mobile Web,Android,6,4.37,6,8070,642,12,26,4
2025-02-12,Italy,Referral,Desktop,iOS,6,3.68,5,4813,543,9,31,10
2024-05-21,France,Social,Mobile,Others,7,2.86,2,1141,56,1,2,0
2024-04-03,Spain,Organic,Desktop,iOS,6,9.9,4,7111,1488,25,92,24
2024-06-05,United Kingdom,Organic,Mobile,Others,8,5.98,2,3766,523,11,42,7
2025-03-08,Ireland,Paid,Mobile Web,iOS,1,4.13,1,3982,338,1,18,3
2025-01-29,Spain,Organic,Desktop,iOS,1,9.39,1,1989,358,6,36,5
2025-06-25,Italy,Organic,Desktop,iOS,8,5.83,8,3870,806,14,69,16
2024-01-12,France,Paid,Mobile,iOS,5,5.1,5,1991,197,4,16,4
2025-07-03,Ireland,Referral,Mobile,Android,4,2.84,1,6220,518,12,29,4
2024-04-24,France,Organic,Mobile Web,Android,9,5.21,6,9656,1353,14,95,16
2024-06-10,France,Organic,Desktop,Android,3,8.75,2,2564,440,14,32,8
2024-09-26,Italy,Organic,Mobile,iOS,5,5.22,1,8361,1312,10,77,13
2025-06-03,Spain,Direct,Mobile,Android,4,6.72,2,4966,740,18,58,7
2025-10-02,United Kingdom,Social,Desktop,Android,7,3.91,7,5728,393,9,16,2
2024-06-05,France,Organic,Mobile,iOS,1,4.82,1,8577,1515,34,101,31
2025-07-06,France,Organic,Mobile,Android,3,0.99,1,6428,1022,24,76,9
2025-09-05,Spain,Organic,Mobile,Android,7,5.33,1,1001,113,3,6,3
2024-01-20,France,Organic,Desktop,Android,7,8.26,4,6238,1091,31,92,22
2024-11-10,United Kingdom,Paid,Desktop,iOS,7,4.37,3,1812,221,3,21,5
2024-09-03,Germany,Paid,Desktop,Android,4,6.88,1,7912,794,11,47,10
2024-03-28,Spain,Organic,Mobile,Android,8,5.01,2,1044,122,2,7,0
2024-03-11,Ireland,Organic,Tablet,Others,6,5.33,4,2614,313,9,19,5
2024-05-11,Spain,Referral,Tablet,Android,5,2.45,2,9701,1046,33,47,7
2025-07-16,Ireland,Social,Mobile Web,Android,2,4.14,2,4972,252,5,8,1
2025-06-24,Germany,Paid,Desktop,Android,7,2.15,3,10212,996,18,70,16
2024-08-04,Spain,Direct,Desktop,Others,3,7.27,2,5402,907,12,77,21
2024-11-15,Spain,Paid,Desktop,Android,4,3.98,2,7580,765,16,29,3
2025-03-24,Italy,Organic,Mobile Web,iOS,4,7.41,3,1700,274,3,14,2
2024-05-03,Spain,Social,Desktop,Android,5,4.75,4,7300,370,2,17,1
2024-03-06,Germany,Organic,Desktop,iOS,7,5.73,2,7484,1446,30,134,33
2025-08-25,France,Organic,Mobile,iOS,7,7.96,1,961,145,4,11,1
2025-08-25,Spain,Organic,Desktop,iOS,6,7.26,2,9585,1750,32,124,26
2024-03-13,Germany,Direct,Mobile Web,Android,7,9.63,1,6696,1321,38,96,18
2024-08-22,Ireland,Organic,Mobile Web,iOS,2,4.82,1,5568,853,14,61,15
2024-12-04,United Kingdom,Social,Desktop,Android,5,2.89,1,4504,292,6,11,1
2024-10-12,United Kingdom,Paid,Mobile,Android,2,2.95,1,9045,954,19,66,7
2024-08-07,Ireland,Organic,Desktop,iOS,2,6.03,2,1577,285,7,31,12
2025-08-07,Spain,Referral,Desktop,Android,4,4.93,2,8299,944,15,61,13
2024-09-05,Spain,Organic,Desktop,Android,7,8.75,4,6244,878,28,50,10
2024-07-13,Italy,Organic,Desktop,iOS,4,8.59,4,1838,325,9,32,7
2025-03-17,United Kingdom,Paid,Mobile,Others,10,4.72,2,10780,875,16,42,11
2025-02-24,France,Paid,Desktop,iOS,3,6.47,2,7646,782,7,53,18
2024-04-10,Italy,Organic,Mobile,Android,5,3.79,1,4953,635,17,34,6
2024-12-13,United Kingdom,Social,Mobile Web,iOS,1,3.7,1,6012,321,9,15,0
2024-07-15,United Kingdom,Organic,Mobile,iOS,2,6.53,1,1838,325,6,21,7
2024-05-23,Germany,Organic,Desktop,iOS,4,5.04,4,9244,2216,23,221,81
2024-10-12,Italy,Paid,Desktop,Others,5,4.76,2,7104,570,4,24,3
2024-03-18,Italy,Direct,Mobile,iOS,7,5.9,2,5162,857,11,62,17
2024-04-10,Italy,Organic,Mobile,Others,6,2.7,5,8223,1054,14,73,13
2024-04-05,United Kingdom,Paid,Mobile,iOS,4,7.68,1,4836,536,13,26,3
2025-02-20,Germany,Organic,Desktop,iOS,7,6.79,2,7902,1823,26,181,53
2024-08-06,Italy,Paid,Mobile Web,iOS,6,3.03,4,1167,91,3,2,0
2024-06-17,Italy,Social,Desktop,Android,7,3.69,1,5492,336,8,11,3
2025-02-03,Italy,Organic,Mobile Web,Others,5,4.18,1,10203,1392,33,84,15
2024-10-19,France,Referral,Mobile Web,iOS,1,2.5,1,6039,535,14,31,3
2025-07-23,Italy,Organic,Desktop,Android,6,7.32,6,7578,1466,36,118,20
2024-06-07,Ireland,Social,Tablet,iOS,5,3.11,4,3909,256,2,4,0
2024-08-10,Germany,Organic,Mobile Web,iOS,4,6.8,3,4409,678,10,49,12
2024-11-17,United Kingdom,Social,Desktop,iOS,2,3.44,1,7382,542,14,29,5
2025-08-21,United Kingdom,Paid,Mobile,iOS,7,4.59,1,3794,375,8,19,3
2025-06-27,Italy,Paid,Mobile,Android,5,0.79,5,1711,121,0,6,0
2025-06-04,Germany,Organic,Mobile,Android,3,2.67,1,6442,1077,35,68,21
2024-03-11,United Kingdom,Organic,Mobile Web,iOS,5,4.42,2,5215,962,11,92,19
2024-08-28,Spain,Direct,Desktop,Android,3,10.46,1,5801,1032,29,70,17
2025-08-06,Italy,Referral,Mobile Web,Android,6,2.07,1,5562,554,14,25,1
2025-08-31,Germany,Paid,Desktop,Android,5,4.37,5,1460,168,5,9,1
2024-03-24,United Kingdom,Organic,Desktop,Android,5,4.02,5,2801,513,7,59,14
2025-08-01,Italy,Organic,Desktop,iOS,5,7.69,5,9163,1660,36,141,36
2024-09-24,Spain,Direct,Mobile,Android,5,6.63,3,7566,1417,28,73,17
2024-11-17,Germany,Direct,Desktop,Android,6,7.25,6,3853,1069,29,104,33
2025-02-09,Germany,Paid,Mobile Web,iOS,4,4.99,3,5912,466,15,35,6
2025-04-13,Germany,Organic,Desktop,Android,5,7.35,3,3158,597,15,55,8
2024-03-15,France,Paid,Desktop,iOS,7,7.55,7,1183,125,1,10,1
2025-09-28,United Kingdom,Social,Mobile Web,Android,4,1.77,4,8813,496,5,14,2
2024-03-16,Spain,Organic,Mobile Web,iOS,4,5.82,1,3065,360,1,25,7
2025-06-02,Spain,Referral,Mobile,iOS,4,4.02,2,8558,808,22,48,8
2024-12-23,France,Organic,Mobile Web,iOS,6,6.56,2,7567,1205,25,59,11
2025-01-13,United Kingdom,Organic,Desktop,Android,2,5.93,1,9449,1762,36,163,42
2025-03-24,France,Paid,Desktop,iOS,3,1.93,1,10105,965,21,55,11
2024-11-05,Spain,Referral,Mobile,iOS,6,2.89,6,7325,656,6,37,4
2024-01-09,Spain,Social,Mobile Web,Android,5,3.62,5,4768,187,4,3,1
2024-04-16,Ireland,Paid,Desktop,Android,4,4.58,3,6970,695,12,31,5
2024-04-28,Germany,Paid,Tablet,Android,2,3.1,2,2718,243,4,13,3
2024-10-05,United Kingdom,Organic,Mobile,Android,1,7.38,1,8038,1221,26,86,25
2024-08-03,France,Organic,Desktop,Android,7,2.71,5,6426,1281,28,70,26
2024-07-27,Ireland,Organic,Mobile Web,Android,6,4.16,3,2006,268,7,18,2
2024-09-27,Ireland,Paid,Desktop,iOS,6,6.99,6,3507,432,6,16,1
2024-09-14,Spain,Referral,Desktop,Android,3,5.19,2,5589,619,16,21,3
2025-10-11,United Kingdom,Organic,Desktop,Others,5,6.2,1,4964,963,30,69,23
2024-02-15,Italy,Social,Desktop,Others,3,1.73,2,1726,85,1,2,1
2024-05-13,United Kingdom,Direct,Mobile,Android,5,3.39,3,4475,931,10,78,22
2024-06-14,Ireland,Paid,Desktop,Android,8,4.14,5,4809,424,5,21,6
2025-07-18,Ireland,Paid,Mobile Web,Android,3,3.83,2,5210,335,9,23,2
2025-07-28,Ireland,Direct,Tablet,iOS,5,7.26,4,6529,1377,24,130,32
2024-03-18,United Kingdom,CRM,Desktop,iOS,1,7.84,1,4674,1517,18,209,105
2025-07-12,Ireland,Social,Desktop,Others,7,4.47,2,3055,140,2,7,0
2025-08-19,United Kingdom,Paid,Mobile,Android,3,2.84,2,4290,402,5,24,4
2025-03-16,Spain,Paid,Desktop,Android,7,3.62,2,8920,791,24,51,8
2024-11-11,Germany,Organic,Mobile,Android,4,5.17,1,4587,719,13,47,16
2025-01-01,France,Organic,Mobile,Android,3,1.85,1,2868,483,7,24,4
2024-04-15,Germany,Direct,Tablet,iOS,5,8.23,2,8254,1968,43,192,76
2025-09-27,France,Social,Mobile,Android,4,3.72,4,7344,310,3,14,1
2024-08-30,Ireland,Paid,Mobile,Android,6,2.66,2,4619,334,9,13,2
2025-02-26,Germany,Paid,Desktop,Android,3,5.1,1,8427,826,8,61,12
2024-12-06,United Kingdom,Organic,Mobile,Android,2,6.26,1,5665,804,17,50,7
2024-09-11,Italy,Social,Mobile,Android,7,3.39,7,5097,214,6,4,0
2024-04-20,France,Direct,Mobile,Others,6,4.65,2,7445,1335,22,86,18
2025-04-26,Italy,Referral,Mobile,Android,6,2.3,1,4422,355,9,30,5
2025-04-16,Germany,Referral,Mobile,iOS,8,3.24,4,5845,645,9,35,5
2024-08-21,France,Social,Mobile Web,Android,2,4.14,2,4413,249,4,2,0
2024-07-16,Germany,Social,Mobile Web,iOS,9,3.75,1,6394,405,7,15,3
2024-10-12,Italy,Paid,Tablet,Android,4,4.5,3,1693,147,2,9,0
2024-12-25,United Kingdom,Social,Mobile,Android,9,1.58,5,4053,241,6,4,0
2025-02-13,Ireland,Direct,Mobile,iOS,6,7.63,5,2429,501,17,39,9
2024-12-05,Ireland,Paid,Mobile,Android,3,5.43,3,9902,712,10,37,4
2024-09-24,United Kingdom,Paid,Mobile,iOS,3,0.66,1,9248,917,21,63,3
2024-02-09,Germany,Organic,Mobile Web,Android,4,5.13,3,4742,846,19,44,13
2025-03-20,United Kingdom,Paid,Mobile Web,Android,3,2.38,3,6647,554,16,36,8
2024-11-17,France,Organic,Desktop,Android,7,8.86,6,1507,231,2,25,4
2025-06-07,Italy,Organic,Desktop,Android,3,4.44,3,3694,632,19,41,11
2025-08-13,United Kingdom,Social,Mobile Web,Android,5,3.39,4,4172,224,5,13,5
2024-02-15,Germany,Referral,Mobile Web,iOS,6,2.26,3,9386,987,32,78,14
2024-01-02,Ireland,Social,Mobile,iOS,2,4.45,2,2336,132,2,3,1
2024-07-20,Spain,Organic,Mobile,Android,3,8.04,3,4379,659,17,46,5
2024-03-12,France,Paid,Desktop,Others,8,3.05,7,8345,758,10,40,7
2025-09-30,Ireland,Direct,Mobile,Android,5,8.97,3,3004,583,8,40,9
2024-05-07,France,Direct,Desktop,iOS,3,8.53,3,7764,2060,20,194,64
2025-06-03,Ireland,CRM,Desktop,Others,3,5.35,2,3092,710,23,48,12
2025-02-22,France,Referral,Desktop,iOS,7,4.91,6,8725,1061,17,74,20
2024-10-29,France,Referral,Desktop,iOS,5,5.29,4,7143,958,15,75,10
2024-07-15,Spain,Organic,Mobile Web,iOS,9,3.09,3,8048,1078,26,60,17
2024-06-27,Italy,Organic,Desktop,Android,8,9.83,7,5800,926,26,86,21
2025-02-19,Spain,Organic,Tablet,iOS,4,7.25,3,3384,596,18,55,9
2024-11-07,Spain,Organic,Desktop,iOS,3,2.61,1,6372,1319,43,116,24
2025-03-16,France,Paid,Desktop,iOS,3,3.18,1,1303,138,4,5,0
2024-11-25,Spain,Referral,Desktop,Android,5,3.76,5,5568,624,11,24,8
2025-03-28,Italy,Organic,Desktop,iOS,4,7.23,4,3954,611,6,39,7
2025-06-07,Ireland,Paid,Mobile Web,Android,6,3.18,2,2071,163,1,12,5
2024-06-22,Italy,Organic,Desktop,Android,7,7.81,7,2926,465,14,39,9
2024-10-17,Ireland,Organic,Mobile,iOS,4,9.04,1,2320,318,4,22,4
2024-04-05,Spain,Organic,Desktop,Android,4,2.78,3,7154,1305,37,79,13
2024-11-13,Germany,Direct,Desktop,iOS,6,10.53,6,5989,1551,46,124,52
2024-05-30,Germany,Organic,Mobile,Android,4,4.57,2,9908,1918,16,152,37
2024-09-07,United Kingdom,Organic,Mobile,Android,6,4.77,1,9778,1752,16,136,25
2025-04-11,Italy,Organic,Mobile,Android,4,8.5,1,2017,307,9,12,4
2025-08-12,Italy,Organic,Tablet,Others,12,5.36,11,9354,1434,29,113,17
2025-05-21,Germany,Organic,Mobile,iOS,2,8.53,2,9046,1443,36,124,31
2024-05-31,Italy,Direct,Desktop,iOS,2,11.51,1,9586,2345,53,189,63
2024-01-06,Ireland,Organic,Desktop,Android,7,6.68,6,8779,1657,31,117,23
2024-08-12,United Kingdom,Organic,Mobile Web,Android,4,4.69,4,962,155,0,15,4
2024-02-21,Germany,Paid,Desktop,Android,8,6.9,8,10975,1249,17,79,14
2024-05-04,Spain,Paid,Desktop,Android,2,5.57,1,1589,163,1,6,2
2025-04-20,Italy,Referral,Mobile Web,Others,9,4.16,3,7787,640,11,29,5
2025-07-26,Ireland,Paid,Mobile,Android,5,5.03,5,2241,146,1,10,1
2025-03-29,Spain,Social,Mobile,Android,5,3.45,3,7625,327,2,16,3
2025-05-31,Spain,Social,Mobile,Android,3,2.55,3,5232,260,4,6,1
2025-04-01,Italy,Social,Mobile,Others,3,2.4,3,6954,309,8,11,1
2025-04-05,Germany,Social,Mobile,iOS,2,3.98,2,3700,212,1,5,1
2025-10-14,France,Organic,Desktop,Android,4,8.4,2,6077,1050,13,68,14
2025-10-03,France,Paid,Mobile,Android,4,1.95,4,6159,410,12,29,0
2025-03-26,Germany,Organic,Mobile Web,Android,6,4.4,3,7815,1203,20,86,25
2024-10-19,United Kingdom,Social,Mobile Web,iOS,3,3.53,3,5971,320,4,10,1
2024-12-09,Germany,Social,Mobile,iOS,9,3.29,5,5992,329,7,17,3
2024-03-23,France,Referral,Desktop,Others,3,3.02,3,7432,697,13,66,14
2024-08-24,Germany,Organic,Mobile,Android,2,7.17,1,4623,812,15,66,16
2024-06-05,Italy,Social,Tablet,iOS,3,3.59,3,5954,322,8,13,1
2024-03-06,Ireland,Organic,Desktop,Android,6,6.72,2,5265,1014,29,78,15
2024-12-04,Italy,Referral,Mobile,iOS,3,3.09,2,8989,919,16,66,12
2025-03-01,Spain,Organic,Desktop,iOS,5,5.3,4,3503,685,18,67,22
2025-03-06,United Kingdom,Paid,Tablet,Android,4,4.57,2,3387,332,5,31,11
2024-01-21,Italy,Organic,Mobile,iOS,10,7.39,10,7307,1142,18,61,11
2025-05-03,Spain,Organic,Tablet,iOS,2,7.26,2,1586,268,9,18,6
2024-11-01,United Kingdom,CRM,Mobile Web,Android,6,3.27,3,7551,1725,54,166,38
2025-07-05,Italy,Social,Mobile Web,Android,10,3.36,7,5329,262,4,8,0
2025-09-09,Ireland,Paid,Mobile,Android,5,2.01,5,4767,370,4,15,4
2024-08-12,Germany,Organic,Tablet,iOS,5,6.77,4,3607,775,16,60,17
2025-05-12,France,Paid,Desktop,Android,6,1.89,4,9573,840,29,58,10
2024-12-10,United Kingdom,Social,Mobile,Android,6,2.43,4,6637,357,8,20,2
2024-06-18,Ireland,Social,Mobile,Android,2,2.13,2,6263,334,6,6,1
2025-09-29,Italy,Organic,Desktop,Android,6,5.62,2,2087,388,2,26,6
2025-02-07,Spain,Direct,Mobile,Android,3,5.36,1,1868,348,10,31,8
2024-03-26,Spain,Organic,Desktop,Android,1,4.8,1,3252,465,10,39,8
2024-05-18,Ireland,Direct,Mobile,Android,7,6.22,4,5573,893,17,54,17
2024-02-21,Italy,Organic,Desktop,Android,1,5.22,1,9089,1647,33,106,22
2024-12-01,France,Social,Mobile Web,iOS,7,2.46,4,5696,281,4,6,0
2024-11-30,Germany,Organic,Mobile,iOS,3,4.67,2,8236,1631,42,158,42
2024-10-11,France,Organic,Tablet,Android,4,5.01,4,7211,1238,34,93,17
2024-03-24,Italy,Organic,Desktop,Android,4,2.07,3,9227,1582,29,114,29
2025-07-06,Italy,Organic,Desktop,iOS,8,9.58,1,9920,1742,35,167,44
2024-08-17,United Kingdom,Organic,Tablet,Android,3,4.22,2,1838,330,3,26,10
2024-02-11,Ireland,Paid,Mobile,Others,6,3.57,1,6721,503,11,18,0
2024-07-23,United Kingdom,Referral,Desktop,Android,6,5.71,2,1500,215,3,12,3
2024-06-05,United Kingdom,Organic,Desktop,Android,3,7.68,3,6760,1370,46,115,38
2025-04-29,Germany,Direct,Desktop,Android,5,7.04,2,7594,2098,60,215,72
2025-07-31,Ireland,Organic,Mobile Web,Android,9,7.96,2,6025,869,12,59,10
2024-09-19,Germany,Social,Desktop,Android,5,4.02,4,1792,126,3,3,1
2025-09-12,France,Organic,Desktop,iOS,5,7.43,2,5044,914,21,95,24
2024-06-16,Spain,Organic,Mobile Web,Others,4,5.47,1,930,112,4,1,0
2025-08-15,France,Paid,Mobile Web,Android,1,3.2,1,897,71,1,4,1
2025-08-12,United Kingdom,Paid,Desktop,Others,4,6.0,3,6933,789,16,48,14
2025-02-10,Ireland,CRM,Mobile Web,iOS,7,2.16,4,3300,585,13,43,12
2024-03-18,Ireland,Direct,Desktop,Android,6,5.4,2,8576,1808,24,135,34
2025-10-04,Spain,Paid,Desktop,iOS,3,3.85,3,7571,794,22,49,9
2024-11-04,Germany,CRM,Desktop,iOS,6,7.3,1,4168,1284,14,141,62
2025-08-02,Ireland,Social,Desktop,Android,2,4.79,1,10372,649,19,30,1
2025-06-29,United Kingdom,Social,Tablet,Others,4,4.0,3,2462,137,4,9,1
2024-03-11,Italy,Referral,Mobile,Android,2,3.9,2,1492,143,5,5,0
2024-12-15,Spain,Referral,Mobile Web,iOS,6,2.74,6,9477,917,28,45,9
2025-05-16,United Kingdom,Paid,Desktop,Android,9,2.95,7,1772,206,1,15,4
2025-01-05,United Kingdom,Social,Mobile Web,Android,5,3.62,4,4021,227,2,2,1
2025-04-15,Ireland,CRM,Desktop,iOS,7,2.89,7,3586,996,23,116,56
2025-03-21,Ireland,Organic,Desktop,iOS,3,6.26,1,1769,307,2,18,2
2025-06-18,Germany,Paid,Desktop,iOS,3,1.99,3,8244,864,28,48,6
2025-09-22,Ireland,Referral,Tablet,iOS,7,3.0,3,5975,738,8,46,9
2025-04-21,Spain,Organic,Mobile,iOS,3,5.38,2,5854,960,38,72,11
2025-08-29,Italy,Organic,Mobile Web,iOS,6,4.02,6,1922,245,2,16,7
2024-09-08,France,Paid,Mobile Web,Android,3,4.7,2,3292,210,3,5,1
2025-04-06,United Kingdom,Organic,Mobile,iOS,5,5.2,3,9272,1596,31,148,44
2025-08-06,Germany,Paid,Desktop,Android,3,5.11,2,3944,450,16,31,4
2024-12-10,Spain,Direct,Desktop,Others,2,7.97,2,6436,1269,30,100,16
2024-11-28,United Kingdom,Direct,Desktop,Android,5,5.48,4,5060,1384,44,120,35
2024-08-05,Germany,Paid,Desktop,Android,5,4.4,4,2580,269,9,15,6
2024-12-14,France,Paid,Mobile Web,Android,8,3.79,5,8970,747,15,38,1
2024-10-09,France,Organic,Mobile,iOS,5,3.44,5,6824,1210,22,117,20
2025-06-13,Spain,Social,Desktop,Android,5,4.81,1,11546,680,3,30,6
2024-09-04,Germany,Direct,Mobile,iOS,3,6.13,1,8232,1638,39,130,38
2025-05-15,Ireland,Referral,Mobile,Android,6,2.6,4,6416,615,10,34,6
2025-05-02,Spain,Paid,Desktop,Android,5,4.22,2,6478,671,12,24,2
2025-05-17,Ireland,Organic,Desktop,Android,3,0.5,3,6304,1056,5,78,14
2024-04-05,Italy,Organic,Desktop,iOS,1,5.95,1,11034,2228,50,181,34
2025-02-18,France,Direct,Mobile,Android,3,5.51,1,5743,866,13,44,8
2024-11-09,Ireland,Organic,Mobile Web,iOS,5,5.83,2,5521,881,24,70,10
2025-01-12,Ireland,Organic,Mobile Web,iOS,5,4.34,5,11334,1512,43,110,12
2025-06-27,Italy,Referral,Desktop,Android,3,4.01,3,7789,952,27,56,10
2025-07-17,France,Referral,Mobile,iOS,3,5.13,2,10094,1138,23,88,20
2025-04-09,France,Organic,Desktop,Android,6,1.69,3,9276,1631,28,149,28
2024-09-14,France,Organic,Mobile,Others,4,3.14,3,3875,556,16,45,8
2024-07-16,Germany,Organic,Mobile,iOS,3,6.45,1,2322,368,1,32,9
2025-07-02,France,Paid,Desktop,Android,6,7.21,1,7708,660,12,44,6
2024-07-15,Ireland,Organic,Mobile Web,Others,6,5.71,2,10370,1347,24,60,9
2025-05-10,Germany,Organic,Desktop,Android,3,8.0,3,1767,361,11,21,10
2025-08-26,France,Social,Mobile,iOS,3,4.32,3,5782,325,6,7,1
2024-04-12,Spain,Paid,Mobile Web,Android,4,4.88,3,3117,210,6,5,0
2024-08-20,Germany,Referral,Tablet,Android,3,5.04,2,2225,253,6,16,6
2024-11-05,France,Social,Desktop,Android,9,3.6,3,5267,320,4,12,3
2025-06-30,United Kingdom,Paid,Desktop,Android,3,1.95,3,5003,667,9,35,8
2024-02-16,Germany,Organic,Mobile Web,Android,3,4.16,2,9425,1662,23,110,24
2024-10-26,United Kingdom,Social,Tablet,Android,7,4.33,5,2846,167,1,10,2
2025-10-15,Ireland,Social,Mobile,Android,6,2.85,2,1560,52,0,2,0
2024-01-13,Italy,Paid,Desktop,iOS,5,4.2,1,4116,472,11,29,2
2025-04-25,Spain,Organic,Mobile,Others,2,3.49,2,8035,969,21,59,12
2024-12-14,Italy,Paid,Mobile Web,Android,5,4.41,4,1885,149,5,10,0
2024-09-15,Germany,Direct,Desktop,iOS,4,10.98,1,5133,1208,25,119,38
2024-03-07,Italy,Referral,Desktop,Android,6,3.12,1,2653,300,4,11,0
2024-03-16,Italy,Organic,Mobile,Android,4,5.94,4,6586,972,14,59,6
2024-06-04,Spain,Organic,Desktop,Others,5,4.35,1,10605,1826,27,108,19
2024-11-07,Germany,Organic,Mobile,iOS,5,4.7,5,5356,852,16,55,16
2024-05-01,United Kingdom,Organic,Mobile,Android,5,3.76,2,8089,1235,35,77,15
2025-09-12,Spain,CRM,Desktop,iOS,6,7.63,4,7157,1840,34,136,48
2024-08-19,Spain,Social,Desktop,iOS,6,3.21,5,6584,375,8,9,0
2025-04-06,Spain,Direct,Desktop,Android,4,9.6,4,10269,2086,33,169,42
2025-08-25,Italy,Organic,Mobile,Android,4,2.61,3,2510,328,6,14,4
2025-08-05,Italy,Paid,Mobile,Android,2,4.02,2,8309,606,5,29,6
2025-09-16,Spain,Paid,Mobile,Others,6,5.36,1,9880,682,14,29,4
2024-07-31,Ireland,Organic,Desktop,Android,7,9.44,1,7149,1099,25,93,23
2024-09-27,Ireland,Paid,Desktop,iOS,8,5.86,4,1873,210,7,15,1
2024-06-09,Ireland,Organic,Mobile,Others,3,4.49,1,11097,1626,14,109,18
2025-07-19,Germany,Organic,Desktop,iOS,4,6.6,2,8031,1590,31,151,38
2024-01-03,United Kingdom,Social,Desktop,iOS,8,4.31,3,6467,527,12,23,3
2025-08-31,Italy,Paid,Mobile Web,Android,1,3.01,1,6178,439,5,14,1
2024-02-03,Italy,Paid,Mobile,Android,8,1.9,5,10138,676,7,35,6
2024-10-16,Germany,Social,Desktop,Others,7,4.4,3,7390,413,5,10,2
2024-03-13,Ireland,Organic,Mobile Web,Android,3,5.36,2,8067,1126,28,59,10
2024-09-27,Ireland,Social,Mobile Web,Android,5,2.98,2,6973,276,6,9,1
2024-07-21,Ireland,Organic,Mobile Web,Android,7,2.28,5,4505,540,16,27,5
2025-07-11,Italy,Social,Mobile,Android,6,3.0,1,5639,288,5,10,1
2024-09-29,Germany,Direct,Tablet,Android,2,6.7,1,7863,1494,51,125,32
2024-03-02,Germany,Paid,Desktop,Android,7,4.28,1,9208,996,16,56,18
2025-09-01,Germany,Direct,Mobile Web,iOS,2,2.7,2,6564,1542,35,128,33
2025-03-25,Ireland,Organic,Mobile,iOS,4,2.07,3,1085,180,2,12,1
2024-11-07,United Kingdom,Direct,Desktop,Others,3,5.77,2,1945,542,12,46,15
